week_start,eur_mw_h
2024-01-01,8.361904761904762
2024-01-08,5.6242857142857146
2024-01-15,5.061904761904762
2024-01-22,6.542976190476191
2024-01-29,5.874047619047619
2024-02-05,5.8377380952380955
2024-02-12,3.7339285714285713
2024-02-19,4.973928571428571
2024-02-26,4.203333333333333
2024-03-04,4.51047619047619
2024-03-11,4.611785714285714
2024-03-18,6.3532142857142855
2024-03-25,7.578809523809523
2024-04-01,7.774880952380952
2024-04-08,9.007261904761904
2024-04-15,15.494761904761905
2024-04-22,12.961190476190476
2024-04-29,12.740119047619048
2024-05-06,11.484285714285713
2024-05-13,20.03797619047619
2024-05-20,14.968095238095238
2024-05-27,11.84297619047619
2024-06-03,29.22488095238095
2024-06-10,20.67904761904762
2024-06-17,17.731785714285714
2024-06-24,15.984761904761905
2024-07-01,16.278690476190476
2024-07-08,14.43452380952381
2024-07-15,19.446666666666665
2024-07-22,13.008571428571429
2024-07-29,12.61047619047619
2024-08-05,15.70107142857143
2024-08-12,15.475000000000001
2024-08-19,19.160476190476192
2024-08-26,15.941547619047618
2024-09-02,16.198214285714286
2024-09-09,14.688095238095238
2024-09-16,17.171666666666667
2024-09-23,14.296785714285715
2024-09-30,11.543095238095239
2024-10-07,11.005595238095239
2024-10-14,17.471190476190475
2024-10-21,11.74797619047619
2024-10-28,8.046547619047619
2024-11-04,17.232261904761906
2024-11-11,8.693333333333333
2024-11-18,7.3254761904761905
2024-11-25,10.310714285714287
2024-12-02,12.021904761904763
2024-12-09,16.25940476190476
2024-12-16,10.231071428571429
2024-12-23,6.030357142857143
2024-12-30,5.296666666666667
