"Category","1h index","2h index","4h index"
"2023-01",227,445,464
"2023-02",124,250,252
"2023-03",235,463,478
"2023-04",201,402,419
"2023-05",207,412,421
"2023-06",151,294,300
"2023-07",184,357,375
"2023-08",158,312,322
"2023-09",136,266,282
"2023-10",207,402,411
"2023-11",160,318,328
"2023-12",153,302,311
"2024-01",166,322,332
"2024-02",136,266,269
"2024-03",134,256,268
"2024-04",123,236,252
"2024-05",132,269,284
"2024-06",189,376,396
"2024-07",130,260,290
"2024-08",140,273,298
"2024-09",146,289,315
"2024-10",190,372,395
"2024-11",170,334,351
"2024-12",192,381,397
"2025-01",214,423,438
"2025-02",215,421,444
"2025-03",171,328,358
"2025-04",113,218,248
"2025-05",88,167,198
"2025-06",95,190,242
"2025-07",130,254,284
"2025-08",143,283,328
"2025-09",156,301,344
"2025-10",149,283,308
"2025-11",132,239,267
"2025-12",94,174,185
"2026-01",221,322,427
"2026-02",188,269,344
